TourAttraction,Big_col,Samll_col,Address,Local,Alien,Foreign,Total,Latitude,Longitude,category
고양 서삼릉(장경왕후) [유네스코 세계문화유산],역사관광지,유적지/사적지,경기도 > 고양시 덕양구,"150,574","184,800",306,"185,106",37.6641878,126.8686238,인문
답십리 고미술상가,체험관광지,이색거리,서울특별시 > 동대문구,"160,755","180,366","4,629","184,995",37.563617,127.057424,인문
오봉산,자연관광지,산,경상남도 > 양산시,"662,564","183,547","1,243","184,790",38.0007746,127.8060983,자연
감낭오름,자연관광지,산,제주특별자치도 > 서귀포시,"111,976","170,398","14,368","184,765",33.24189,126.609708,자연
서원곡유원지,휴양관광지,유원지,경상남도 > 창원시 의창구,"436,639","184,128",391,"184,519",35.211151,128.562562,인문
포천문화원,문화시설,문화원,경기도 > 포천시,"467,779","183,754",739,"184,492",37.8905259,127.1982486,인문
경남대학교 박물관,문화시설,박물관,경상남도 > 창원시 의창구,"362,460","183,922",531,"184,453",35.183086,128.5533924,인문
능허대지,역사관광지,유적지/사적지,인천광역시 > 연수구,"290,374","181,962","2,478","184,440",37.422852,126.643284,인문
이기대 (부산 국가지질공원),자연관광지,해안절경,부산광역시 > 남구,"350,431","167,020","17,326","184,346",35.1322108,129.1210029,자연
우곡사(창원),역사관광지,사찰,경상남도 > 창원시 의창구,"158,939","183,561",697,"184,258",35.2489564,128.7173953,인문
정수사(강화),역사관광지,사찰,인천광역시 > 강화군,"42,175","183,866",383,"184,249",37.6075742,126.4450913,인문
남양성모성지,역사관광지,종교성지,경기도 > 화성시,"486,563","181,629","2,407","184,036",37.2063816,126.8168566,인문
한화리조트 산정호수 온천,휴양관광지,온천/욕장/스파,경기도 > 포천시,"34,255","183,502",338,"183,839",38.0655556,127.3144444,인문
모란미술관,문화시설,미술관/화랑,경기도 > 남양주시,"506,454","183,019",481,"183,499",37.6504752,127.3242389,인문
수종사,역사관광지,사찰,경기도 > 남양주시,"49,595","183,159",296,"183,455",37.5710679,127.3024655,인문
피노지움,문화시설,박물관,경기도 > 파주시,"110,499","182,739",622,"183,360",37.708894,126.687557,인문
괴오름,자연관광지,산,제주특별자치도 > 제주시,"75,754","177,128","6,110","183,238",33.366417,126.357851,자연
구두리오름,자연관광지,산,제주특별자치도 > 서귀포시,"48,335","176,586","6,548","183,134",33.410202,126.68806,자연
용강서원,역사관광지,유적지/사적지,경기도 > 고양시 일산동구,"227,381","182,746",365,"183,110",34.9557746,127.4727421,인문
세검정 터 (구 세검정),역사관광지,유적지/사적지,서울특별시 > 종로구,"138,642","170,223","12,729","182,951",37.6008708,126.9597653,인문
김포 수안산성,역사관광지,성,경기도 > 김포시,"183,201","181,143","1,722","182,864",37.638896,126.590721,인문
청주 무농정,역사관광지,유적지/사적지,충청북도 > 청주시 상당구,"276,899","182,665",159,"182,824",36.6058157,127.5020297,인문
부산 기장시장,쇼핑,상설시장,부산광역시 > 기장군,"250,138","177,328","5,383","182,711",35.2434384,129.2156268,쇼핑
평택문화원,문화시설,문화원,경기도 > 평택시,"499,587","181,073","1,465","182,537",36.9909219,127.1142763,인문
화성남양리신빈김씨묘역,역사관광지,유적지/사적지,경기도 > 화성시,"407,624","174,906","7,630","182,535",37.1970218,126.8317441,인문
거제 명진리 느티나무,관광자원,희귀동.식물,경상남도 > 거제시,"560,728","181,913",570,"182,482",34.8446169,128.6100766,자연
청풍호반케이블카,자연관광지,산,충청북도 > 제천시,"27,101","182,011",390,"182,401",37.0013266,128.1666107,자연
VRZONE CINEMA(브이알존 시네마),체험관광지,이색체험,서울특별시 > 강남구,"83,272","166,520","15,831","182,351",37.499904,127.025587,인문
두물워크샵,문화시설,공연장,경기도 > 남양주시,"71,099","181,913",431,"182,344",37.6136745,127.3429326,인문
정충묘,역사관광지,유적지/사적지,경기도 > 광주시,"401,226","181,587",570,"182,157",37.387823,127.286086,인문
오금공원,휴양관광지,공원,서울특별시 > 송파구,"472,402","181,573",574,"182,147",37.5033786,127.1314564,인문
수로왕릉,역사관광지,유적지/사적지,경상남도 > 김해시,"676,036","180,198","1,935","182,132",35.2352943,128.8783807,인문
갈매기골목,체험관광지,이색거리,서울특별시 > 마포구,"105,707","175,203","6,722","181,925",37.54172,126.950473,인문
